"elevation","soil_type","Contrast","cv","Entropy","std","bio15","bio19","longitude","latitude","response","fold","bio1","bio12"
3927.55737304688,11724,68829.90625,480.021545410156,27560.875,248.008911132812,88.7099380493164,14.7199850082397,101.0475,32.30095,1,3,0.848402976989746,716.160095214844
3769.05932617188,11103,402435.40625,1234.9384765625,29833.947265625,520.984985351562,88.3715972900391,14,101.0684,32.41539,1,3,3.12966990470886,701.199829101562
3784.9130859375,11103,251821.4375,1144.90563964844,29717.62109375,524.964965820312,88.3924560546875,14.0000162124634,101.0664,32.41234,1,3,3.11624765396118,701.400085449219
3927.55737304688,11724,68829.90625,480.021545410156,27560.875,248.008911132812,88.7099380493164,14.7199850082397,101.0488,32.30172,1,3,0.848402976989746,716.160095214844
3927.55737304688,11724,68829.90625,480.021545410156,27560.875,248.008911132812,88.7099380493164,14.7199850082397,101.0472,32.30091,1,3,0.848402976989746,716.160095214844
3923.30615234375,11724,105128.96875,581.007507324219,28312.73046875,282.000915527344,88.613639831543,14.9599905014038,101.0502,32.30099,1,3,0.774440884590149,716.480163574219
1713.60205078125,11128,248440.296875,1033.06201171875,28698.103515625,500.050964355469,49.8661308288574,45.9199600219727,86.783,48.694,1,3,-0.912901282310486,323.519592285156
1713.60205078125,11128,248440.296875,1033.06201171875,28698.103515625,500.050964355469,49.8661308288574,45.9199600219727,86.778056,48.693889,1,3,-0.912901282310486,323.519592285156
1713.60205078125,11128,248440.296875,1033.06201171875,28698.103515625,500.050964355469,49.8661308288574,45.9199600219727,86.781389,48.693056,1,3,-0.912901282310486,323.519592285156
1723.35192871094,11128,378225.84375,805.928405761719,29194.828125,462.956237792969,50.6783866882324,44.9998207092285,86.772222,48.677222,1,3,-1.52185213565826,333.002777099609
1744.80200195312,11128,432997.53125,972.898620605469,29668.751953125,544.93798828125,51.1059951782227,44.5998077392578,86.779722,48.678611,1,3,-1.78941643238068,335.322723388672
4189.59033203125,11724,81334.5390625,666.00830078125,27949.958984375,277.003845214844,106.995254516602,6,100.329266,29.879868,1,3,2.68543815612793,618.080078125
4189.59033203125,11724,81334.5390625,666.00830078125,27949.958984375,277.003845214844,106.995254516602,6,100.330316,29.878877,1,3,2.68543815612793,618.080078125
1792.05236816406,11128,164634.203125,880.962585449219,29690.421875,353.001251220703,51.3070182800293,44.3998069763184,86.803333,48.687778,1,3,-1.82215130329132,328.802795410156
4292.869140625,11705,109696.2109375,553.046630859375,27482.072265625,255.013122558594,104.184829711914,6.64006280899048,100.530291,30.085184,1,3,1.06164371967316,653.200378417969
4283.7890625,11724,260600.421875,1143.97509765625,28284.18359375,584.984313964844,105.097946166992,6.19999504089355,100.522251,30.113091,1,3,1.47854924201965,646.999938964844
4346.89892578125,11723.9970703125,52433.60546875,418.031463623047,26411.28515625,208.017578125,106.065139770508,6.1999945640564,100.366597,30.06038,1,3,1.74646830558777,625.599853515625
4340.369140625,11723.9970703125,98263.15625,632.951171875,27176.802734375,312.9814453125,105.932670593262,6.35999965667725,100.366593,30.053306,1,3,1.73128724098206,625.999816894531
4291.85400390625,11724,462743.21875,1020.91479492188,28914.775390625,492.960845947266,104.877380371094,6.3600001335144,100.515952,30.113938,1,3,1.3743554353714,646.559936523438
4189.59033203125,11724,81334.5390625,666.00830078125,27949.958984375,277.003845214844,106.995254516602,6,100.33006,29.879787,1,3,2.68543815612793,618.080078125
4189.59033203125,11724,81334.5390625,666.00830078125,27949.958984375,277.003845214844,106.995254516602,6,100.328919,29.878125,1,3,2.68543815612793,618.080078125
3835.60766601562,11879,36809.16015625,290.013061523438,25571.275390625,167.006469726562,85.8119583129883,13.0000114440918,102.277872,31.814941,1,3,4.3906831741333,699.999938964844
4340.369140625,11723.9970703125,98263.15625,632.951171875,27176.802734375,312.9814453125,105.932670593262,6.35999965667725,100.366085,30.053275,1,3,1.73128724098206,625.999816894531
4189.59033203125,11724,81334.5390625,666.00830078125,27949.958984375,277.003845214844,106.995254516602,6,100.328751,29.878071,1,3,2.68543815612793,618.080078125
3923.30615234375,11724,105128.96875,581.007507324219,28312.73046875,282.000915527344,88.613639831543,14.9599905014038,101.0523,32.30115,1,3,0.774440884590149,716.480163574219
2208.84594726562,11107,279467.875,714.013488769531,28129.845703125,354.008850097656,83.7133560180664,12.5600824356079,106.192717,35.673941,1,2,3.75794839859009,528.760803222656
322.581817626953,11807,106734.8046875,521.011474609375,28384.892578125,286.004119873047,61.8487167358398,151.519836425781,119.17008,25.82742,1,2,18.5603141784668,1367.43798828125
